phrase1, phrase2, phrase3, phrase4, phrase5, phrase6, phrase7, phrase8, phrase9, phrase10, phrase11, phrase12, phrase13, phrase14, phrase15, phrase16, phrase17, phrase18, phrase19, phrase20, phrase21, phrase22, phrase23, phrase24, phrase25, phrase26, phrase27, phrase28, phrase29, phrase30, symptom
"I have noticed a significant loss of muscle mass","I feel weaker and my muscles are shrinking","My muscles seem to be wasting away with time","I am experiencing muscle atrophy in my arms and legs","My body feels weaker and my muscles seem smaller","I have difficulty lifting objects due to muscle loss","I feel my muscles getting thinner and weaker","I notice my muscles are shrinking and my strength is reduced","My legs feel weaker and muscles seem to be wasting","My arms feel flabbier and lack muscle tone","I am losing muscle definition and strength in my body","I have noticed a decline in muscle strength and size","My muscles feel softer and less firm","I feel my body losing muscle tissue","I am struggling to maintain muscle mass in my body","My muscle tone has decreased significantly","I notice that I have less muscle endurance and strength","My muscles are not as strong as they used to be","I can feel my muscles getting weaker each day","I have noticed my muscles becoming more fragile and smaller","My muscle mass is decreasing and I feel weaker","I feel a gradual loss of muscle strength and size","I am finding it harder to walk due to muscle wasting","My muscles are shrinking and I am losing strength","I am experiencing progressive muscle weakness and atrophy","I feel that my muscle strength is continuously diminishing","My muscles seem to be wasting away as time passes","I have noticed a significant loss of muscle mass over time","My muscles are shrinking and I feel weaker than before.","There is visible thinning of my muscles, making movement more difficult","muscle_wasting"
"I have been vomiting frequently","I feel nauseous and keep throwing up","I can't stop vomiting no matter what I eat","I am experiencing uncontrollable vomiting","I keep vomiting after every meal","I feel nauseated and end up throwing up","I vomit several times a day","Every time I eat, I throw up","I feel like vomiting constantly","I have been throwing up for hours","I feel a strong urge to vomit constantly","I have experienced vomiting episodes throughout the day","I am unable to keep food down and keep vomiting","Vomiting is making it difficult for me to function","I am having trouble keeping any food or liquid down","I feel sick and keep vomiting","My stomach hurts and I keep throwing up","I have been vomiting after drinking anything","I keep experiencing episodes of vomiting","I can't stop throwing up, it's getting worse","Vomiting makes me feel weak and dehydrated","I feel extremely nauseous and vomit often","My vomiting is making it hard for me to eat anything","I have been throwing up so much that I feel drained","I am feeling weak from continuous vomiting","My stomach hurts, and I am constantly vomiting","I vomit every time I get out of bed","I feel nauseous all the time and can't stop vomiting","I’ve been vomiting continuously since last night.","After eating, I suddenly felt nauseous and started vomiting.","vomiting"
"I feel a burning sensation when I urinate","Every time I go to the bathroom, it burns","Urination is painful due to the burning feeling","I experience a strong burning sensation when I urinate","It feels like there is a fire when I pee","I can't urinate without feeling burning pain","There is a constant burning when I urinate","It burns badly every time I try to urinate","I have a burning sensation every time I use the bathroom","Urine feels hot and painful when I go to the toilet","There is a sharp burning sensation while urinating","The pain while urinating is unbearable","I feel like my urinary tract is on fire when I pee","I can't relieve myself without burning pain","I experience pain and burning every time I urinate","There is a persistent burning feeling when I urinate","Every time I urinate, it feels like I’m being burned","I feel intense pain while urinating","There is a constant burning sensation when I use the bathroom","Burning pain occurs every time I urinate","It feels like a burning sensation deep inside when I pee","I feel pain and burning together while urinating","The pain when urinating is accompanied by burning","I am experiencing a stinging and burning sensation while urinating","It burns every time I try to pass urine","It feels like my bladder is on fire when I urinate","I feel an unbearable burning when I try to urinate","I feel a burning sensation every time I urinate.","Urinating has become painful with a strong burning feeling.","There’s an intense burning discomfort when I pass urine.","burning_micturition"
"I notice blood when I urinate","There are small spots of blood in my urine","I see blood stains every time I use the bathroom","When I urinate, there are occasional blood drops","I experience spotting while urinating","My urine has some blood traces in it","I notice a little blood after I urinate","There is a small amount of blood in my urine","I spot blood when I go to the toilet","Every time I urinate, I spot a little blood","I’m seeing occasional blood when I use the bathroom","I’ve been spotting blood during urination","There are tiny blood spots in my urine","I see drops of blood after urinating","I have noticed blood stains in my urine recently","When I urinate, I sometimes spot blood","My urine contains little spots of blood","I experience occasional blood spotting when urinating","Blood spots appear when I go to the bathroom","I’ve noticed spotting in my urine when I pee","I spot blood when using the toilet","I experience occasional blood drops in my urine","There is some blood every time I urinate","I have been spotting blood while urinating","I notice blood stains when I use the restroom","There is a trace of blood in my urine every time","I notice small spots of blood when I urinate.","There are tiny traces of blood in my urine.","I’ve been experiencing light spotting during urination.","Sometimes, I see small blood spots in my urine.","spotting_urination"
"I feel extremely tired all the time","I can’t seem to shake off this constant fatigue","Even after sleeping, I feel drained","I’m exhausted no matter how much I rest","I feel worn out every day","I struggle to get through the day because of fatigue","I wake up feeling tired as if I haven’t slept","No matter what, I always feel exhausted","My energy levels are at an all-time low","I’m constantly feeling weary","I feel drained even after resting for a long time","It feels like my energy is completely depleted","I am always tired, no matter how much I sleep","My body feels heavy and fatigued all the time","I’m feeling unusually fatigued these days","I feel too tired to do anything","I can’t find the energy to get out of bed","I have this overwhelming sense of tiredness every day","I feel too drained to focus or concentrate","I struggle to keep my eyes open during the day","I have this constant feeling of tiredness","I feel sluggish and low on energy","Even small tasks feel exhausting","I am always tired, no matter how much rest I get","I feel physically and mentally drained","I’m constantly fighting off a wave of exhaustion","I feel exhausted even after a full night’s sleep.","I have no energy to do my daily activities.","I constantly feel drained and weak.","No matter how much I rest, I still feel fatigued.","fatigue"
"I’ve gained weight even though my eating habits haven’t changed","I’ve noticed my clothes don’t fit as well due to weight gain","I’ve been putting on weight without trying","My weight keeps increasing for no apparent reason","I’ve gained several kilos recently and I’m not sure why","I seem to be gaining weight despite working out regularly","I’ve been eating normally, but I keep gaining weight","My weight has been steadily increasing lately","I noticed I’ve put on a lot of weight in the past few months","I’ve been gaining weight at an unusual rate","I feel like my body is holding onto more weight than usual","I’ve gained weight around my stomach area","I’m finding it harder to control my weight lately","I’ve noticed a sudden weight gain","Even though I’m active, I’m still gaining weight","I don’t know why I’m gaining weight despite my diet","I’ve been feeling like my weight is getting out of control","My weight has increased unexpectedly in recent weeks","I’m struggling with unwanted weight gain","I can’t seem to stop gaining weight","I’ve gained a noticeable amount of weight in a short time","I feel like my body is storing more fat than usual","I’ve been gaining weight around my hips and thighs","I’m experiencing weight gain even though I haven’t changed my lifestyle","I feel bloated and have gained weight recently","I’ve gained weight around my waist","I’ve been gaining weight despite no major changes in my diet.","My clothes feel tighter than before.","I’ve noticed an unexplained increase in my body weight.","Even with regular exercise, I keep putting on weight.","weight_gain"
"I’ve been feeling nervous and restless lately","I can’t shake off the feeling of anxiety","I’ve been feeling anxious for no particular reason","My anxiety levels have been rising recently","I feel a constant sense of unease","I’ve been experiencing more anxiety than usual","I get anxious even in situations where I normally wouldn’t","My anxiety has been interfering with my daily life","I’ve been feeling on edge and overly anxious","I often feel nervous or worried for no reason","I’ve been experiencing anxiety attacks lately","I feel like I’m always anxious about something","I’ve been having trouble managing my anxiety","I get anxious even when I’m supposed to relax","I feel a knot in my stomach from anxiety","I’m often overwhelmed by feelings of anxiety","I’ve noticed my anxiety getting worse lately","I’ve been having difficulty controlling my anxious thoughts","I often feel a sense of dread or fear","I’ve been having more anxious thoughts recently","I’ve been feeling restless due to anxiety","I often find myself worrying about things I can’t control","I feel tense and anxious most of the time","I’ve been struggling with anxiety for a while now","My anxiety is making it hard to focus","I can’t stop feeling anxious no matter what I do","I often feel nervous and on edge.","My heart races whenever I feel anxious.","I can’t stop worrying about things, even when they’re minor.","I feel a constant sense of unease and fear.","anxiety"
"My hands and feet are always cold","I’ve been noticing that my hands and feet are freezing even when it's warm","My hands and feet often feel icy to the touch","No matter how warm I am, my hands and feet stay cold","I can’t seem to warm up my hands and feet","My feet and hands are cold all the time","I often feel like my extremities are freezing","I’ve been dealing with cold hands and feet for a while now","Even with gloves, my hands feel cold","I’ve been having trouble warming up my feet lately","My hands and feet are constantly cold","My extremities always feel chilled, no matter the temperature","I’ve been feeling cold in my hands and feet more often than usual","My cold hands and feet are making it hard to relax","It’s hard to warm up my feet and hands, even in blankets","My feet often feel numb from the cold","I keep feeling like my hands and feet are ice-cold","Cold hands and feet seem to be a constant issue for me","Even in warm rooms, my feet and hands stay cold","I’ve been experiencing a constant chill in my hands and feet","I can’t get my feet and hands to warm up, even with socks","I feel cold in my extremities even when others are comfortable","My hands and feet remain cold no matter what I do","I’ve been dealing with poor circulation in my hands and feet","I’ve noticed that my hands and feet get cold much easier than before","My hands and feet always feel cold, even in warm weather.","I struggle to keep my hands and feet warm.","There’s a constant chill in my fingers and toes.","My extremities get cold easily, making me uncomfortable.","Even with thick socks and gloves, my feet and hands feel icy.","cold_hands_and_feets"
"I've been having extreme mood swings lately","One moment I'm happy, the next I'm feeling down","My emotions keep changing unexpectedly","I feel like my mood shifts every few minutes","I can't control my mood swings these days","It’s hard to keep track of my emotions because they change so fast","I often go from feeling great to feeling sad out of nowhere","Sometimes I feel angry, then I feel calm within minutes","I’m noticing that my mood fluctuates a lot recently","My mood changes suddenly without any clear reason","I’m experiencing dramatic mood swings lately","I feel like my emotions are out of control","My mood swings are affecting my daily life","I feel up one minute, and down the next","It’s hard to predict how I’ll feel from one moment to the next","I can’t seem to stabilize my mood these days","My mood seems to swing between extremes constantly","I feel like I’m on an emotional rollercoaster","One minute I’m excited, the next minute I feel depressed","I can’t keep my emotions in check lately","I feel like my mood is unpredictable","It’s exhausting to deal with these constant mood swings","My friends and family have noticed my mood swings","I don’t know why my mood changes so dramatically","I feel like I’m struggling to manage my emotions","My mood keeps shifting without any obvious trigger","I feel overwhelmed by my unpredictable mood swings","My emotions change rapidly from happy to irritated.","I feel fine one moment and overwhelmed the next.","I experience sudden mood shifts without any clear reason.","mood_swings"
"I've been losing weight without trying","I noticed I’m losing weight faster than usual","Lately, I’ve been losing weight despite eating normally","I feel like I’ve lost more weight recently","I’m dropping weight without any changes to my diet","I’m not trying to lose weight, but I keep losing it","I’ve lost a significant amount of weight recently","I don’t know why, but I’m losing weight rapidly","I’ve noticed a steady weight loss for the past few weeks","I’m feeling thinner lately, even though I haven’t changed my habits","I’ve lost more weight than I expected","My clothes are getting loose because of weight loss","I’m losing weight without any exercise or dieting","I’ve been losing weight even though I’m eating well","I’m feeling lighter and leaner, without any effort","I’m noticing that I’ve dropped several pounds","I feel like my weight loss is happening too quickly","I can’t seem to keep weight on no matter how much I eat","I’m worried about my weight loss, I can’t explain it","I’ve been losing weight uncontrollably","I’m noticing my weight dropping even though I feel fine","I’ve been eating regularly but still losing weight","I don’t understand why I’m losing weight without any reason","I’m worried my weight loss could be a health problem","I can’t seem to gain back the weight I’ve lost","I’m losing weight without any medical explanation","I’ve lost weight faster than I expected","My weight is dropping without changing my diet or exercise.","My clothes are getting looser even though I eat normally.","People have noticed that I look thinner lately.","weight_loss"
"I can’t seem to sit still","I’m feeling restless and can’t focus","I feel an overwhelming urge to move around","I’ve been feeling jittery and restless lately","I can’t seem to relax, I'm always fidgeting","I’m constantly pacing around because I can't calm down","I feel like I need to keep moving all the time","I can't stay in one place for long, I'm always restless","I feel a sense of anxiety and restlessness that won’t go away","I’ve been feeling uneasy and restless, unable to concentrate","I’m finding it hard to relax and sit still","I feel an uncontrollable restlessness in my body","I can’t focus on anything because I’m so restless","I feel like my mind is racing, making me feel restless","I can’t seem to calm my thoughts, leading to restlessness","I’m struggling with constant restlessness and discomfort","I feel physically and mentally restless all the time","My mind just keeps racing, making me feel uneasy","I can't stop moving or fidgeting, it’s exhausting","I’m overwhelmed by a sense of restlessness that I can't shake off","I feel on edge and restless for no clear reason","My restlessness is preventing me from sleeping","I feel a constant restlessness that’s affecting my daily life","I feel like I need to do something all the time, but I can’t focus","I’m overwhelmed by this constant feeling of restlessness","I can't seem to control this constant restlessness I feel","I feel unable to sit still and constantly need to move.","My mind is racing, making it hard to relax.","I struggle to focus because I feel so restless.","Even when I'm tired, I can't seem to calm down.","restlessness"
"I feel exhausted all the time","I have no energy, I just want to lie down","I feel sluggish and tired constantly","I’m always feeling drained and unable to do much","I can’t seem to get out of bed, I’m so lethargic","I feel like I have no motivation to get anything done","My body feels heavy, I just can’t seem to move","I’m struggling to stay awake and alert","I feel like I’m always in slow motion","I’m constantly tired, even after a full night's sleep","I have no drive to do anything, I’m just too tired","I can’t find the energy to get through the day","I feel like I’ve lost all my energy","I feel physically and mentally exhausted all the time","I can barely keep my eyes open, I’m so lethargic","I’ve been feeling worn out and unproductive lately","I’m always fatigued and can’t seem to shake it off","I feel weak and lethargic, like I can’t move","I just want to sleep all day, I feel so sluggish","I have a lack of energy that makes everything harder","I’m struggling with daily tasks due to my constant lethargy","I feel like I have no strength to do even simple things","I feel completely drained, I don’t have the energy to focus","I’m often feeling like I'm in a fog and too tired to care","I just can’t shake off this overwhelming tiredness","I feel like I need a lot of rest to function at all","I feel exhausted no matter how much I rest.","Even small tasks feel overwhelming and tiring.","I lack the energy to do things I used to enjoy.","I feel sluggish and find it hard to stay active.","lethargy"
"I have white patches in my throat","I feel a sore spot in my throat that has patches","There are red patches on the back of my throat","My throat feels irritated with some spots on it","I noticed some patches in my throat that are painful","I’m seeing strange patches in my throat when I look in the mirror","I have swollen patches in my throat that hurt when swallowing","There are patches in my throat that make it hard to talk","I’ve got patches on my throat that feel uncomfortable","I feel like my throat is covered with some strange patches","My throat is sore and there are white patches inside","I noticed some strange patches on my throat lining","I’m struggling with throat discomfort due to patches","I can see patches in my throat when I try to swallow","I’ve got these patches in my throat that seem to be getting worse","My throat feels scratchy with patches that won’t go away","There are white patches in my throat that cause pain when eating","I’ve got an itchy throat with some visible patches on it","The back of my throat has patches that make me feel uneasy","I’ve noticed some patches growing in my throat recently","My throat feels irritated with patches that hurt","There are small patches inside my throat that are tender","I’ve had patches in my throat for a few days now","My throat has red and swollen patches that are really bothersome","I feel discomfort in my throat from patches that seem infected","My throat feels like there are patches that need to heal","I have red and white patches in my throat.","There are noticeable patches on the back of my throat.","My throat feels sore with visible patches.","I see white spots on my tonsils and throat.","patches_in_throat"
"My blood sugar levels seem to be fluctuating","I have noticed irregular sugar levels lately","My blood sugar levels are not stable","I’ve been feeling strange due to irregular sugar levels","I keep experiencing unexpected changes in my blood sugar levels","My blood sugar levels are all over the place these days","I feel dizzy because of my irregular sugar levels","I am having difficulty controlling my sugar levels","My sugar levels have been higher than usual lately","I’ve noticed low sugar levels at random times","I feel tired because my sugar levels are not consistent","Sometimes I experience high and low sugar levels throughout the day","I have trouble managing my sugar levels effectively","My sugar levels seem to drop without warning","I’ve had a few episodes of irregular sugar levels this week","My blood sugar keeps spiking and dropping suddenly","I’m feeling weak because of fluctuating sugar levels","I’m concerned about my irregular sugar levels","I’ve been feeling lightheaded due to sugar imbalances","I notice my sugar levels rise and fall unpredictably","I’ve been struggling with my sugar levels recently","My blood sugar levels don’t seem to stay stable","I feel shaky when my sugar levels aren’t regular","My sugar levels are off balance today","I’m having trouble with my sugar levels going too high or low","I feel unwell when my sugar levels are irregular","My blood sugar levels keep fluctuating unpredictably.","I experience sudden spikes and drops in my sugar levels.","My sugar readings are inconsistent throughout the day.","I feel dizzy and weak due to unstable blood sugar.","irregular_sugar_level"
"I've been coughing a lot lately","I can’t stop coughing","My cough has been persistent for days","I’ve developed a dry cough","I keep having coughing fits","My throat feels irritated from all the coughing","I’ve been coughing more than usual","I’ve had a persistent cough for a few days now","My cough is worse in the mornings","The cough just won’t go away","I’ve been coughing up mucus","My chest hurts from all the coughing","I keep waking up coughing at night","I’m coughing non-stop due to irritation in my throat","I feel like I have something stuck in my throat because of the cough","The coughing is getting worse as the day goes on","I feel exhausted from all the coughing","I have a chronic cough that seems to never end","I’m coughing so much I’m losing my voice","The cough is dry and makes it hard to speak","I cough whenever I try to breathe deeply","The coughing fits happen unexpectedly","I’m having trouble sleeping due to the constant coughing","My cough is accompanied by a sore throat","I have a cough that doesn’t seem to get better","I feel like I’m coughing too much for no reason","I keep coughing after every meal","I’ve been coughing a lot today","I can't stop coughing, it feels constant.","My throat hurts from all the coughing.","cough"
"My body is burning up with a high fever","I’ve been running a high fever all day","My temperature has been rising steadily","I feel extremely hot due to a high fever","I have a fever that's higher than usual","I’m experiencing chills along with this high fever","My fever won’t break no matter what","I’m sweating excessively because of my high fever","I’ve been shivering with a high fever","My body temperature keeps going up and down","I have a fever of over 102°F","The fever is making me feel weak and tired","I feel like I have a high fever every time I check my temperature","My fever is causing a lot of discomfort","This high fever is making it hard for me to focus","I can’t shake this fever off","I’ve been feeling feverish all night","The fever is making my body ache all over","I’m sweating profusely from this high fever","My fever keeps getting worse even with medication","I feel feverish, and my temperature is still high","I’ve had a fever for the past three days","I feel so hot that I can’t even sleep","My fever has made me feel lightheaded","My temperature won’t come down below 101°F","I’ve been feeling dizzy with this high fever","I can’t seem to cool down because of the fever","I’m constantly feeling overheated due to the high fever","I have a high fever that won't go down.","I've been feeling feverish with a temperature above 39°C.","high_fever"
"My eyes look sunken and hollow","I can see dark circles and sunken eyes","My eyes feel tired and appear sunken","I’ve noticed my eyes becoming more sunken","The skin around my eyes looks darker and sunken","My eyes look deep-set and tired","I feel like my eyes are sinking into my face","I’ve been getting sunken eyes due to lack of sleep","My eyes have a sunken appearance","The area around my eyes looks sunken and puffy","I have deep, sunken eyes and I feel drained","My eyes are sunken and it’s making me look tired","The skin around my eyes has become thin and sunken","I can’t seem to get rid of these sunken eyes","My eyes are sunken due to dehydration","I’ve noticed my eyes looking more hollow recently","My sunken eyes make me look unwell","I have deep-set eyes from exhaustion","My eyes have lost their usual fullness, making them appear sunken","The tiredness in my body shows in my sunken eyes","I’m feeling weak and my eyes are sunken","My sunken eyes make me look older","My eyes look deeply set in my face","I can’t shake off the sunken eyes even after resting","The hollowness around my eyes is noticeable","I’ve been getting sunken eyes because I haven’t been eating well","My face looks tired with sunken eyes","My eyes look sunken and tired.","I have deep, sunken eyes that make me look exhausted.","My eyes feel hollow and sunken.","sunken_eyes"
"I’m having trouble catching my breath","I feel breathless after walking a short distance","I can’t seem to get enough air","Breathing feels difficult and labored","I feel short of breath even when resting","I’m struggling to breathe properly","It’s hard to take a full breath","My breath feels shallow and strained","I can’t breathe deeply without discomfort","I feel like I’m gasping for air","I experience shortness of breath regularly","My chest feels tight, making it hard to breathe","I can’t seem to fill my lungs with air","Every breath feels like a struggle","I feel breathless after climbing stairs","My breathing is fast and shallow","I feel winded even after minimal exertion","I’ve been experiencing breathlessness more frequently","I’m having difficulty breathing after any physical activity","I feel like I’m suffocating sometimes","My breathing feels irregular and labored","I’m always short of breath, even when sitting still","Breathlessness has been affecting my daily activities","I get out of breath very easily","I feel tightness in my chest and can’t breathe well","I’m constantly out of breath","My breathlessness seems to worsen at night","I am struggling to breathe and feel breathless.","I feel out of breath even after doing small tasks.","Breathing has become difficult and I feel short of breath.","breathlessness"
